SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
1,4881,Lamar Jackson,QB,28.7,BAL,4,4,4,29.36,29.36,29.36,1,1,1,51,51,0,73.7%,100,19,14,6,5,0,144.40,279,2,2,209,11.00,14.93,0,0,0,0,0,0,0,0,0.0,0.0,6,1,4,70,1,NA,70,11.67,100.0%,NA,NA,NA,5,NA,13,25,NA,NA,NA,NA,NA,8,42.1%,2.70,21.1%,27.3%,9.1,NA,22,279,@ BUF,19,OUT,25.1,4.3
1,4984,Josh Allen,QB,29.3,BUF,1,1,1,38.76,38.76,38.76,1,1,1,85,85,0,71.7%,246,46,33,16,13,0,112.00,424,1,2,394,8.57,11.94,0,0,0,0,0,0,0,0,0.0,0.0,14,0,2,30,2,NA,30,2.14,100.0%,NA,NA,NA,4,NA,22,60,NA,NA,NA,NA,NA,18,39.1%,2.98,15.2%,25.0%,9.4,NA,52,424,vs BAL,2,·,23.5,15.3
1,7564,Ja'Marr Chase,WR,25.5,CIN,76,77,76,4.6,3.6,2.6,1,1,1,52,45,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,13,0,1,0,5,13,26,13.0,5.2,0,0,0,26,0,NA,0,0,86.5%,NA,NA,NA,0,NA,1,5,0.200,1.0,24,21.7%,1.08,0,NA,NA,NA,NA,NA,0.042,NA,26,@ CLE,8,·,20.4,-15.8
1,11566,Jayden Daniels,QB,24.7,WAS,13,13,13,20.12,20.12,20.12,1,1,1,70,70,0,63.3%,136,30,19,10,11,0,98.30,301,3,1,233,7.77,12.26,0,0,0,0,0,0,0,0,0.0,0.0,11,0,3,68,0,NA,68,6.18,100.0%,NA,NA,NA,3,NA,14,41,NA,NA,NA,NA,NA,11,36.7%,2.73,13.3%,21.6%,9.4,NA,37,301,vs NYG,14,·,23.9,-3.8
1,9509,Bijan Robinson,RB,23.6,ATL,2,2,3,24.4,21.4,18.4,1,1,1,76,63,0,0.0%,0,0,0,0,0,0,0.00,24,0,0,0,0.00,0.00,6,-6,1,2,1,7,106,100,16.7,14.3,12,0,0,124,0,26,24,2,82.9%,4,2.20,0.333,0,0.553,3,19,0.158,3.0,NA,16.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,124,vs TB,17,·,19.7,4.7
1,6794,Justin Jefferson,WR,26.2,MIN,21,20,17,14.8,12.8,10.8,1,1,1,56,55,0,0.0%,0,0,0,0,0,0,0.00,4,0,0,0,0.00,0.00,4,32,0,1,1,7,12,44,11.0,6.3,1,0,0,48,0,NA,4,4,98.2%,NA,NA,NA,0,NA,2,8,0.250,2.0,23,35.0%,1.91,0,NA,NA,NA,NA,NA,0.043,NA,48,@ CHI,23,·,18.9,-4.1
1,11632,Malik Nabers,WR,22.1,NYG,29,28,30,12.1,9.6,7.1,1,1,1,68,64,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,47,0,4,0,12,24,71,14.2,5.9,0,0,0,71,0,NA,0,0,94.1%,NA,NA,NA,0,NA,4,12,0.333,4.0,37,32.4%,1.92,0,NA,NA,NA,NA,NA,0.108,NA,71,@ WAS,10,IR,15.7,-3.6
1,9221,Jahmyr Gibbs,RB,23.5,DET,13,25,36,15,10,5,1,1,1,67,44,0,0.0%,0,0,0,0,0,0,0.00,19,0,0,0,0.00,0.00,10,0,0,1,0,10,31,31,3.1,3.1,9,0,1,50,0,27,19,2.11,65.7%,5,3.00,0.556,1,0.856,2,19,0.105,2.0,NA,25.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,50,@ GB,31,·,19.0,-4.0
1,6786,CeeDee Lamb,WR,26.4,DAL,14.0,15,15,18,14.5,11,1,1,1,61,56,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,66,3,6,0,13,44,110,15.7,8.5,0,0,0,110,0,NA,0,0,91.8%,NA,NA,NA,0,NA,6,13,0.462,6.0,30,38.2%,3.67,0,NA,NA,NA,NA,NA,0.200,NA,110,@ PHI,15,OUT,17.7,0.3
1,11604,Brock Bowers,TE,22.8,LV,2.0,2,3,15.3,12.8,10.3,1,1,1,63,32,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,49,1,4,0,8,54,103,20.6,12.9,0,0,0,103,0,NA,0,0,50.8%,NA,NA,NA,0,NA,4,8,0.500,4.0,21,23.5%,4.90,0,NA,NA,NA,NA,NA,0.190,NA,103,@ NE,5,OUT,16.2,-0.9
1,6904,Jalen Hurts,QB,27.1,PHI,8.0,8,8,24.28,24.28,24.28,1,1,1,63,63,0,82.6%,91,23,19,6,4,0,94.20,214,1,0,152,6.61,8.00,0,0,0,0,0,0,0,0,0.0,0.0,14,2,5,62,2,NA,62,4.43,100.0%,NA,NA,NA,7,NA,13,37,NA,NA,NA,NA,NA,6,26.1%,3.17,4.3%,42.4%,4.5,NA,33,214,vs DAL,1,·,24.9,-0.6
